"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #1099","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1099.png","Verdant","Emerald","Monster & Sparkle","Cactus (Green)",,,"Orange",,,"Smile (Green)"
"Chia Friends #11","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/11.png","Mohawk (Green)",,"quexington & Gradient","Marmot (Brown)",,,"Orange",,,"Snout (Small)"
"Chia Friends #110","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/110.png",,,"Cosmic & Gradient","K32 (Amethyst)",,,"Seer (Amethyst)","1",,"Stoic"
"Chia Friends #1100","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1100.png",,"Emerald","Cranberry","Parakeet (Yellow)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1101","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1101.png",,,"Squash","Seal",,"Wide Eyes","Cyborg",,,"Snout (Tooth)"
"Chia Friends #1102","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1102.png",,"Fireball (Blue)","quexington","K32 (Steel)",,,"Red","4",,"Smile (Steel)"
"Chia Friends #1103","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1103.png",,,"Tuna","Cactus (esaung)",,"Angry (Green)","Orange",,,"Happy (Purple)"
"Chia Friends #1104","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1104.png",,,"Dolphin & Gradient","Cactus (Purple)",,"Squint (Purple)","Orange",,,"Ooo (Purple)"
"Chia Friends #1105","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1105.png",,,"Fern","Starling","Pi",,"Cyborg",,,"Beak (Long)"
"Chia Friends #1106","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1106.png",,,,"Timelord (Lightning)",,,,,,
"Chia Friends #1107","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1107.png",,,"Yak","Cauliflower",,"Wide Eyes","Shades",,,"Smile (Tan)"
"Chia Friends #1108","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1108.png",,"Fireball (Yellow)","Caribbean & Gradient","K32 (Steel)",,,"Yellow","3",,"Sad (Steel)"
"Chia Friends #1109","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1109.png",,,"Tundra","Cactus (Red)",,"Wide Eyes","Vipers",,,"Ooo (Purple)"
"Chia Friends #111","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/111.png",,,"Gold Fish & Gradient","Marmot (Red)",,,"Vipers",,,"Snout (Sullen)"
"Chia Friends #1110","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1110.png",,,"Flax & Glimmer","Marmot (Red)",,"Squint (Brown)","Orange",,,"Snout (Small)"
"Chia Friends #1111","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1111.png",,,"Dolphin","Broccoli (Purple)",,,"Laser Visor",,,"Happy (Purple)"
"Chia Friends #1112","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1112.png","Flower (Yellow)",,"Caribbean","Starling","Smile",,"Shades",,,"Beak (Long)"
"Chia Friends #1113","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1113.png",,,"Ice & Watercolor","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #1114","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1114.png",,"Fireball (Green)","Mint","Marmot (Red)",,,"Enlightened",,,"Snout (Drool)"
"Chia Friends #1115","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1115.png",,,"Monster & Gradient","Marmot (Purple)",,,"Purple",,,"Snout (Tooth)"
"Chia Friends #1116","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1116.png","Mohawk (Purple)",,"Owl","Parakeet (Green)",,,"Blue",,,"Beak (Small)"
"Chia Friends #1117","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1117.png",,,"Worm","K32 (Steel)",,,"Blue","3",,"Sad (Steel)"
"Chia Friends #1118","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1118.png",,,"Jellyfish & Shimmer","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #1119","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1119.png",,,"Dan Perrywinkle","Cactus (esaung)",,,"Blue",,,"Frown (Tan)"
"Chia Friends #112","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/112.png","Verdant","Fireball (Yellow)","Green Lasers","K32 (Jade)",,,"Seer (Jade)","1",,"Stoic"
"Chia Friends #1120","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1120.png",,,"Mauve & Shimmer","Marmot (Brown)",,,"Cyborg",,,"Snout (Sullen)"
"Chia Friends #1121","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1121.png",,,"Sand","K32 (Steel)",,,"Blue","1",,"Intercom (Steel)"
"Chia Friends #1122","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1122.png",,,"Tundra & Gradient","Marmot (Blue)",,,"3D Glasses",,,"Snout (Sullen)"
"Chia Friends #1123","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1123.png",,"Fireball (Yellow)","Mint","Seal",,,"Shades",,,"Snout (Sullen)"
"Chia Friends #1124","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1124.png",,"Ruby","Mauve","Marmot (Red)",,"Wide Eyes","Cyborg",,,"Snout (Hungry)"
"Chia Friends #1125","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1125.png",,"Emerald","Gold Fish","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1126","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1126.png",,"Fireball (Yellow)","Cranberry","Marmot (Purple)",,,"Shades",,,"Snout (Drool)"
"Chia Friends #1127","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1127.png",,,"Mauve","Marmot (Brown)",,"Wide Eyes","Enlightened",,,"Snout (Sullen)"
"Chia Friends #1128","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1128.png",,,"Tuna & Gradient","Cucumber",,"Wide Eyes","Orange",,,"Smile (Green)"
"Chia Friends #1129","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1129.png","Bow (Purple)",,"Worm & Gradient","Cactus (Purple)",,"Wide Eyes","Orange",,,"Happy (Tan)"
"Chia Friends #113","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/113.png","Mohawk (Green)",,"Monster","Cauliflower",,"Wide Eyes","Enlightened",,,"Smile (Tan)"
"Chia Friends #1130","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1130.png",,"Snow","Caribbean","Parakeet (Green)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #1131","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1131.png",,,"Watermellon & Glimmer","K32 (Steel)",,,"Blue","3",,"Happy (Steel)"
"Chia Friends #1132","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1132.png",,,"Worm","Cauliflower",,,"Purple",,,"Smile (Tan)"
"Chia Friends #1133","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1133.png","Flower (Yellow)",,"Fern","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #1134","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1134.png",,"Snow","Yak","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1135","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1135.png",,"Fireball (Yellow)","Cranberry","Broccoli (Green)",,"Wide Eyes","Orange",,,"Smile (Green)"
"Chia Friends #1136","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1136.png",,,"Mint","Starling",,,"Rainbow",,,"Beak (Long)"
"Chia Friends #1137","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1137.png",,,"Mauve & Gradient","Starling",,,"3D Glasses",,,"Beak (Long)"
"Chia Friends #1138","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1138.png",,,"Dolphin","Cactus (Red)",,,"Enlightened",,,"Smile (Purple)"
"Chia Friends #1139","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1139.png",,,"Sea Foam & Gradient","Parakeet (Yellow)",,,"Green",,,"Beak (Small)"
"Chia Friends #114","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/114.png",,,"Cranberry","Marmot (Purple)",,,"Cyborg",,,"Snout (Small)"
"Chia Friends #1140","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1140.png",,,"Monster","Marmot (Brown)",,,"Cyborg",,,"Snout (Tooth)"
"Chia Friends #1141","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1141.png",,,"Dolphin","Cactus (Purple)","Rainbow","Wide Eyes","Rainbow",,,"Carne (Purple)"
"Chia Friends #1142","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1142.png",,,"Grid","Cactus (Albino)",,"Wide Eyes","Shades",,,"Frown (Tan)"
"Chia Friends #1143","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1143.png","Mohawk (Purple)",,"Squash","Broccoli (Green)",,"Angry (Green)","Green",,,"Frown (Green)"
"Chia Friends #1144","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1144.png",,,"quexington & Watercolor","Broccoli (Green)",,"Wide Eyes","Purple",,,"Ooo (Green)"
"Chia Friends #1145","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1145.png","Flower (Yellow)",,"Dolphin","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #1146","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1146.png","Verdant","Ruby","Green Lasers & Stars","Marmot (Red)",,,"Rainbow",,,"Snout (Sullen)"
"Chia Friends #1147","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1147.png",,,"Slate","Parakeet (Yellow)",,,"Green",,,"Beak (Small)"
"Chia Friends #1148","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1148.png",,,"Slate","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1149","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1149.png",,,"Thistle","Marmot (Brown)",,,"Vipers",,,"Snout (Small)"
"Chia Friends #115","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/115.png",,,"Ice","K32 (Steel)",,,"Blue","1",,"Jagged (Steel)"
"Chia Friends #1150","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1150.png",,,"Sand","Marmot (Blue)",,,"Enlightened",,,"Snout (Drool)"
"Chia Friends #1151","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1151.png",,,"Green","Starling",,,"Shades",,,"Beak (Long)"
"Chia Friends #1152","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1152.png",,"Snow","Lilac","K32 (Steel)",,,"Yellow","2",,"Intercom (Steel)"
"Chia Friends #1153","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1153.png","Verdant",,"Galaxy & Gradient","K32 (Jade)",,"Seer","Seer (Jade)","2",,"Stoic"
"Chia Friends #1154","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1154.png",,"Emerald","Squash","Marmot (Brown)",,,"Cyborg",,,"Snout (Hungry)"
"Chia Friends #1155","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1155.png",,"Fireball (Green)","Opaa & Glimmer","K32 (Steel)",,,"Closed","3",,"Intercom (Steel)"
"Chia Friends #1156","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1156.png",,,"Monster","Parakeet (Yellow)",,,"Green",,,"Beak (Small)"
"Chia Friends #1157","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1157.png","Mohawk (Purple)",,"Tuna & Glimmer","Broccoli (Purple)",,,"Rainbow",,,"Ooo (Purple)"
"Chia Friends #1158","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1158.png",,,"Watermellon","Marmot (Green)",,,"Laser Visor",,,"Snout (Hungry)"
"Chia Friends #1159","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1159.png",,,"Sea Foam","K32 (Steel)",,,"Yellow","3",,"Jagged (Steel)"
"Chia Friends #116","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/116.png",,,"Dan Perrywinkle","Marmot (Purple)",,"Wide Eyes","Orange",,,"Snout (Sullen)"
"Chia Friends #1160","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1160.png",,,"Cranberry","Parakeet (Green)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #1161","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1161.png",,,"Owl & Glimmer","Marmot (Brown)",,,"Zombie",,,"Snout (Eating)"
"Chia Friends #1162","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1162.png",,,"Slate","Marmot (Purple)",,"Wide Eyes","Orange",,,"Snout (Sullen)"
"Chia Friends #1163","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1163.png",,,"Sea Foam","Parakeet (Yellow)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1164","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1164.png",,,"Nighttime & Watercolor","Seal",,,"Laser Visor",,,"Snout (Tooth)"
"Chia Friends #1165","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1165.png",,,"Dolphin","Marmot (Brown)",,"Wide Eyes","Cyborg",,,"Snout (Drool)"
"Chia Friends #1166","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1166.png",,,"Caribbean & Sparkle","Cactus (esaung)",,"Wide Eyes","Vipers",,,"Frown (Purple)"
"Chia Friends #1167","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1167.png",,,"Lilac & Gradient","Marmot (Brown)",,"Squint (Brown)","Purple",,,"Snout (Tooth)"
"Chia Friends #1168","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1168.png",,,"Lilac & Gradient","Parakeet (Yellow)",,,"Purple",,,"Beak (Small)"
"Chia Friends #1169","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1169.png",,,"Swamp & Glimmer","Starling",,,"Enlightened",,,"Beak (Long)"
"Chia Friends #117","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/117.png","Mohawk (Red)",,"quexington","Marmot (Purple)",,,"Shades",,,"Snout (Sullen)"
"Chia Friends #1170","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1170.png",,,"Worm","K32 (Steel)",,,"Blue","3",,"Smile (Steel)"
"Chia Friends #1171","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1171.png",,,"Gold Fish","Cactus (esaung)",,,"Cyborg",,,"Happy (Purple)"
"Chia Friends #1172","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1172.png",,,"Ice","Parakeet (Green)",,,"Blue",,,"Beak (Small)"
"Chia Friends #1173","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1173.png",,,,"Timelord (Squiggle)",,,,,,
"Chia Friends #1174","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1174.png","Verdant",,"Watermellon & Gradient","Parakeet (Green)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1175","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1175.png",,"Fireball (Yellow)","Squash","Parakeet (Yellow)",,,"Shades",,,"Beak (Small)"
"Chia Friends #1176","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1176.png",,,"quexington & Sparkle","Marmot (Brown)",,,"Cyborg",,,"Snout (Drool)"
"Chia Friends #1177","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1177.png",,,"Thistle","Cactus (Green)",,"Squint (Green)","Blue",,,"Frown (Green)"
"Chia Friends #1178","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1178.png",,,"Dolphin","Marmot (Gray)",,"Wide Eyes","Zombie",,,"Snout (Sullen)"
"Chia Friends #1179","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1179.png",,"Ruby","Yak & Gradient","K32 (Steel)",,,"Blue","4",,"Sad (Steel)"
"Chia Friends #118","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/118.png","Mohawk (Blue)",,"Sand","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #1180","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1180.png",,"Emerald","Lilac","Starling",,,"Purple",,,"Beak (Long)"
"Chia Friends #1181","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1181.png","Flower (Yellow)",,"Green","Parakeet (Green)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #1182","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1182.png",,,"Squash & Gradient","K32 (Steel)",,,"Red","4",,"Happy (Steel)"
"Chia Friends #1183","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1183.png","Mohawk (Green)",,"Nighttime","Cactus (Ded)",,"Wide Eyes","Zombie",,,"Yum"
"Chia Friends #1184","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1184.png",,,"Seashell & Sparkle","Starling",,,"Rainbow",,,"Beak (Long)"
"Chia Friends #1185","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1185.png",,,"Flax","K32 (Steel)","Square",,"Green","2",,"Smile (Steel)"
"Chia Friends #1186","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1186.png",,"Fireball (Yellow)","Gold Fish","Marmot (Gray)",,"Wide Eyes","Enlightened",,,"Snout (Sullen)"
"Chia Friends #1187","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1187.png",,,"Sea Foam & Gradient","Starling","Hamburger",,"Cyborg",,,"Beak (Long)"
"Chia Friends #1188","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1188.png",,,"quexington","Marmot (Brown)",,"Wide Eyes","Vipers",,,"Snout (Small)"
"Chia Friends #1189","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1189.png",,,"Lilac","K32 (Steel)",,"Relaxed (Steel)","Closed","1",,"Jagged (Steel)"
"Chia Friends #119","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/119.png",,"Fireball (Blue)","Sand","Parakeet (Green)",,,"Purple",,,"Beak (Small)"
"Chia Friends #1190","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1190.png","Bubblegum","Fireball (Yellow)","quexington","K32 (Steel)",,,"Red","4",,"Happy (Steel)"
"Chia Friends #1191","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1191.png",,,"Yak","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #1192","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1192.png",,"Emerald","Thistle","Cactus (Purple)",,"Squint (Purple)","Purple",,,"Happy (Purple)"
"Chia Friends #1193","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1193.png",,"Fireball (Yellow)","Tundra & Gradient","Marmot (Green)",,,"Green",,,"Snout (Small)"
"Chia Friends #1194","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1194.png",,,"Sea Foam","Marmot (Gray)",,"Wide Eyes","Cyborg",,,"Snout (Tooth)"
"Chia Friends #1195","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1195.png",,,"Cherry Blossom","Seal",,,"Blue",,,"Snout (Hungry)"
"Chia Friends #1196","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1196.png",,,"Cherry Blossom & Watercolor","Cactus (Purple)",,,"Vipers",,,"Frown (Purple)"
"Chia Friends #1197","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1197.png","Flower (Yellow)",,"Sea Foam & Gradient","Parakeet (Yellow)",,,"Orange",,,"Beak (Small)"
"Chia Friends #1198","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1198.png","Bubblegum",,"Nighttime","Marmot (Green)",,,"Enlightened",,,"Snout (Small)"
"Chia Friends #1199","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/1199.png",,,"Dolphin","Cactus (Red)",,"Wide Eyes","Green",,,"Frown (Purple)"
"Chia Friends #12","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/12.png",,,"Jellyfish & Watercolor","Starling","Hamburger",,"Vipers",,,"Beak (Long)"
